status,kelompok,golongan,subgol,kode,subkode,ket,posisi,sdawl,mutdeb,mutkre,sdakh
AKTIF,NERACA,ASET,ASETTETAP,PERALATAN,1123-02,PERALATAN KANTOR DAN SEKERTARIAT,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLAIN,LAIN,1131-01,LAIN,AKTIVA,250000,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,JANGKAPANJANG,1211-01,LEMBAGA,PASIVA,0,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,JANGKAPANJANG,1211-02,PERORANGAN,PASIVA,0,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,JANGKAPENDEK,1212-01,LEMBAGA,PASIVA,0,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,JANGKAPENDEK,1212-02,PERORANGAN,PASIVA,0,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,KHUSUS,1213-01,LEMBAGA,PASIVA,0,0,0,0
AKTIF,NERACA,KEWAJIBAN,KEWAJIBAN,KHUSUS,1213-02,PERORANGAN,PASIVA,0,0,0,0
AKTIF,NERACA,ASET BERSIH,TIDAKTERIKAT,TIDAKTERIKAT,1311-01,AKUMULASI,PASIVA,0,0,0,0
AKTIF,NERACA,ASET BERSIH,TERIKATSEMENTARA,NONPEMBANGUNAN,1321-01,AKUMULASI,PASIVA,0,0,0,0
AKTIF,NERACA,ASET BERSIH,TERIKATSEMENTARA,PEMBANGUNAN,1322-01,AKUMULASI,PASIVA,0,0,0,0
AKTIF,NERACA,ASET BERSIH,TERIKATSEMENTARA,UKSP,1323-01,AKUMULASI,PASIVA,0,0,0,0
